signature (qtm),vertices,edges (qtm),diameter (qtm),example antipodes (qtm),radius (qtm),example center (qtm),diameter (htm),example antipodes (htm),radius (htm),example center (htm)
0x1005808C2C3461,65,127,10,0x30078f8c200108 => 0x3043818c406062,6,0x2000018c3c3c61,7,0x2003090c383861 => 0x1001808c4c7462,4,0x300b8d8c400460
0x308C00840D9420,65,112,23,0x20238104018c23 => 0x2023890405d020,12,0x23000840d9630,13,0x202081041d8823 => 0x1021888401dc20,7,0x308000840d9630
0x1000008FEC0461,65,97,15,0x201b010fe00108 => 0x810010ff80860,8,0x200b010fe00118,11,0x1019808fe00108 => 0x810010ff80860,6,0x1011808fe00061
0x20108100000C03,65,90,34,0x8440100001290 => 0x20108000080294,17,0x22100900000290,20,0x201080000c1210 => 0x20c0100001290,10,0x22100900000290
0x20408100000C03,65,90,34,0xa440100001210 => 0x20408000080294,17,0x2500080001610,20,0x220c0100001210 => 0x205080000c0210,10,0x2500080001610
0x100002B4000C03,65,90,34,0x21800b4004084 => 0x21200b4000884,17,0x184002b4000084,20,0x80c00b4004084 => 0x21200b4000c10,10,0x184002b4000084
0x18018080000C23,65,90,34,0x18018a80005008 => 0x83001c1830,17,0x10038280101180,20,0x18018a80005008 => 0x83001c1830,10,0x10038280101180
0x188D8080000C00,65,90,34,0x18218a80005000 => 0x8083001c1810,17,0x10838280101080,20,0x308002800c1410 => 0x18618280101000,10,0x10838280101080
0x21187308800863,65,88,18,0x30ff018000198 => 0x11af208880063,12,0x2118730880019c,12,0x1197208940063 => 0x30ff018000198,6,0x11187288800463
0x180002C00,64,164,8,0xd80004000 => 0xd0000480000,5,0x30000180002000,5,0x10000280003 => 0x380401000,3,0x180200c00
0x100000000005AD,64,160,7,0x100000000fe0 => 0x400000000fe0,6,0x5bd,6,0x40000000b5a => 0x10000000007f,4,0x800000007f
0x1000018C600861,64,136,12,0x818018c600108 => 0x810018c600118,7,0x808018c600860,9,0x810018c600188 => 0x1810018c600108,5,0x800078c002860
0x100C00807C0403,64,128,11,0x184004800c3610 => 0xa5000807c0401,6,0x10000e801c7400,7,0x18418680002610 => 0xa5001007c0802,4,0x10038e80007400
0x2118018C6008C2,64,128,10,0x2300078c0068c0 => 0x1888018c60041c,6,0x2118018c600381,8,0x10c4018c600898 => 0xc18018c600621,5,0x2118018c600381
0x10F40000000C7F,64,128,9,0x30f40000000fe1 => 0x18f40000000b5e,6,0x10f400000007bd,5,0x1e800a00001fe0 => 0x2378000000087f,4,0x2f080000000fe3
0x100596802C3421,64,122,14,0x100586802cb441 => 0x11807c7c23,7,0x200f1f00780840,8,0x11807c7c23 => 0x3003818060f043,4,0x200f1f00780840
0x218401FC200460,64,116,14,0x66001fc400460 => 0x1800dfc001062,8,0x21800dfc000460,9,0x46001fc20030c => 0x18409fc003060,5,0x218001fc400462
0x100180806005A3,64,94,12,0x20038100640b40 => 0x100380807005a0,6,0x200f010060002d,9,0x100380807005a0 => 0x20038100640b40,5,0xc00806c045a
0x20401FC203461,64,90,18,0x24001fc407062 => 0x204401fc203061,9,0x20401fc203461,11,0x24401fc203061 => 0x24001fc407062,6,0x2040ffc200460
0x168000B42D85A3,64,90,14,0x16800b44d85a3 => 0x30b400b44d85a0,7,0x1ec000b40da5a0,9,0x37800b44d85a0 => 0xb400b44d85a3,5,0x168000b40da7b0
0x120084200C63,64,88,33,0x12008440039c => 0x200090420039c,17,0x250008430018c,19,0x12008440039c => 0x200090420039c,10,0x210088420038c
0x2020084200C63,64,88,33,0x202008440039c => 0x42008440039c,17,0x250008420418c,19,0x202008440039c => 0x42008440039c,10,0x212008420038c
0x200F01004000C6,64,88,29,0x20038700041208 => 0x2003890024400c,15,0x20038900046300,17,0x20038700041208 => 0x2003890024400c,9,0x20030900006384
0x2009118400C63,64,88,33,0x101288c0039c => 0x200911820039c,17,0x8400118448398,19,0x101288c0039c => 0x200911820039c,10,0x8400118448398
0x10058086200C63,64,88,34,0x100580c440039c => 0xa500106380862,17,0x1007c884304108,19,0x2003810620039c => 0x100580c440039c,10,0x184580c4200318
0x47000839C043D,64,88,20,0x1187808182482d => 0x218b810300945a,10,0x1187808380085e,15,0x2188810318985a => 0x1187808182482d,8,0x11878083800bc2
0x10B4008C6F8461,64,88,19,0x10b7808c638860 => 0x1179808c638860,10,0x2d08008c6f8461,11,0x10b6008c6f8460 => 0x17a008c6f8460,6,0x178008c6f8461
0x843046200C2D,64,87,18,0x843046200bc4 => 0x8270043205a2,12,0x8c034460005b0,12,0x8270043205a2 => 0x84b04624002d,6,0x8270041235a0
0x108440B5AFB5AD,63,86,16,0x202000f7adb5bd => 0x45000f7adb5ad,12,0x60040b5bfb5ad,10,0x8248b5afb5ad => 0x208800f7adb5ad,7,0x7000f7adb5ad
0x180600C08,62,144,8,0x8410400082020 => 0x104000820c4,5,0x2100180600008,7,0x104000820c4 => 0x10400082230,4,0xc0180600040
0xB42D85A1,62,132,8,0xb45d85a0 => 0x200b44d85a0,5,0x8b42d85a0,6,0xb44d85a1 => 0x20000b44d85a0,4,0x8b42d85a0
0x2118018C60085E,62,124,10,0x1830018c600b46 => 0x10c4018c6008da,6,0x1884018c60085e,8,0x2308018c6005b1 => 0xc18018c60062d,5,0x2118018c600bc2
0x20088000000C63,62,118,18,0x844800000418c => 0x10060800105108,9,0xa100000100463,11,0x844800000418c => 0x10060800105108,6,0x200c800000019c
0x18000802005AD,62,118,10,0x4200080400fe0 => 0x4200100200fe0,7,0x18104000005ad,7,0x4200080002fe0 => 0x4200100002fe0,5,0x180050000007f
0x100001847D8C21,62,104,16,0x30138184618820 => 0x204305041da820,8,0x100007841dac20,10,0x101980846d8420 => 0x3043858401a820,5,0x7841dec20
0x100190802C042D,62,90,15,0x5809c0c2d => 0x180dc0c2d,8,0x30039180400b40,13,0x100184808c042d => 0x10018080cc042d,7,0x30039180400b40
0x1001808FEC0421,62,88,20,0x18ffc0c21 => 0x18ffc0c41,10,0x3013818fe00008,11,0x2003010ff80841 => 0x18ffc0c18,6,0x3013818fe00100
0x120080000C63,62,86,32,0x8b00041308 => 0x8000b00045060,16,0x2000880000c63,19,0x8000b00045060 => 0x8b00041308,10,0x2000880000c63
0x10018080800C63,62,86,32,0x10038880904108 => 0x20030b10005060,16,0x2003010080039c,19,0x20030b10005060 => 0x10038880904108,10,0x20030100800c63
0x8F4200C63,62,86,23,0xa5000f4401060 => 0x300c00b6300108,12,0x8f4200c63,13,0x300c00b6300108 => 0xa5000f4002460,7,0x8f4200c63
0x108C00B47D85A1,62,84,17,0x308006b41de5a0 => 0x44204b41df5a0,9,0x188006b40db7a0,12,0x308006b41de5a0 => 0x44204b40db7b0,6,0x188006b40db7a0
0x180000C08,61,147,9,0x380001008 => 0x10000080023,5,0x2100180000008,7,0x980004008 => 0x10800084040,4,0xc0180000008
0x18C002C60,61,139,10,0x1020c083060 => 0x1080c086060,6,0x3000018c002060,7,0x1060c081060 => 0x1080c284060,4,0x3000018c400060
0x180408040,60,138,12,0x10400880020 => 0x180408008,7,0x11400080040,10,0x580008008 => 0x10000c80020,6,0x11400080040
0x8000F4200060,60,120,12,0x40040b4400108 => 0x8004b6000060,7,0x40000f4200108,10,0x40004b6000060 => 0x8040b4400108,6,0x8000f4200060
0x10F4018C60043D,60,120,10,0x1e88018c60045e => 0x16c4018c6005b1,6,0x2178018c600bc2,8,0x2368018c6005b1 => 0x18b4018c600b46,4,0x2178018c60043d
0x30000A00000283,60,112,10,0xe8000000c14 => 0xa0c0000005c00,10,0xe8000000c14,7,0x8508000004284 => 0xa400200100094,6,0xa0c0000140003
0x44800000C63,60,112,21,0x2000ca00041108 => 0x20008200161108,11,0x30044800000c60,13,0x2000ca00041108 => 0x20008200161108,7,0x30044800000c60
0x21000802C3611,60,112,10,0xa0e805c1400 => 0x200f0100203c01,10,0xa0e805c1400,7,0x10038280507002 => 0xa0e805c1400,6,0x21000802c3611
0x1011968080002D,60,98,11,0x4808c945e => 0x1105c88da,6,0x22039110400b40,9,0x10119280c00b40 => 0x200951018085a,5,0x220395100005a0
0x1000008FEC042D,60,92,13,0x1001808fe00b41 => 0x1001808fe005a1,7,0x1000008fec042d,10,0x1001808fe00b41 => 0x8fec043d,5,0x1009808fe0005a
0x8000F43237A1,60,92,11,0xc0a4cf440005a => 0x88a4cf440005a,6,0x40000f43237a1,9,0x8406f432022d => 0xc0240f4203b41,5,0x40000f43237a1
0x828C047F,60,86,13,0x100180c0800b5a => 0x100190c0000b5a,9,0x2003510000007f,11,0x2003411000007f => 0x2003011200007f,8,0x1001808280007f
0x1000018C7C0C11,60,84,22,0x810018c7c0c10 => 0x3013818c600090,11,0x1013808c6c0410,15,0x3013818c600090 => 0x810018c7c0c10,8,0x1013808c6c0410
0x2308010C7C0863,60,84,13,0x2118810c7c0862 => 0x10c6008c7c0461,7,0x1070008c7c0463,9,0x2118810c7c0862 => 0x20c7810c640861,5,0x2073810c600863
0x1184008C6C047F,60,84,17,0x1185808c600bda => 0x218b010c6007ad,9,0x2180010c7c087f,11,0x218b010c600b5e => 0x1185808c6005bd,6,0x1183808c60047f
0x183F00C08007F,60,82,18,0x1817a0c08007f => 0x188718c001fe0,12,0x1184718c000fe0,11,0x1817a0c08007f => 0x188718c001fe0,7,0x2180738c000fe0
0x10525A02800C06,60,80,14,0x1046000282dc14 => 0xa0ed050004601,12,0xa0e405004d280,11,0x242da12000c14 => 0xa0c004096d204,10,0xa0ad250000603
0x83FE04000631,60,80,14,0x20c0b7060008c3 => 0x10c63084127180,7,0x18803ec400061c,12,0x20c0b7060008c3 => 0x10c63086003390,6,0xc7b006200391
0x1021A48380007F,60,80,13,0x202325130005ad => 0x202365110005ad,9,0x1021e48180007f,11,0x2023651100007f => 0x20232513000fe0,8,0x1021b48300007f
0x201B010FF80806,60,80,17,0x808018ffc0c06 => 0x3047818fe00081,15,0x1045808fec0411,11,0x1053808fec0404 => 0x1043808fec0414,10,0x1044018ffc0c10
0x1081B0840005A3,59,86,15,0x308030840c045a => 0x80390418482d,8,0x108db08400002d,10,0x1083b08410005a => 0x8c030840c042d,5,0x108db08400002d
0x168400B43D85A3,59,80,15,0x216800b45d85a3 => 0x30f400b45d85a0,8,0x1e8000b40db7b0,11,0x237800b43d85a0 => 0x237800b45d85a0,6,0x168208b41db5a0
0x10B4018C6005AD,58,116,10,0x2d10018c60007f => 0x1e80058c002fe0,6,0x168018c6005bd,7,0x1168018c6005ad => 0x1e80058c002fe0,4,0xb4018c600fe1
0x800184618420,58,114,10,0x400058401a420 => 0x210004698022,7,0x810004798020,8,0x8810004698020 => 0xc10004698020,5,0x818004698020
0x58401B420,58,110,12,0x8010004798020 => 0x2200058401a020,6,0x2000058401b020,10,0xd8401a030 => 0x2200058401a020,5,0x20000d8401a020
0x73800C60011C,58,88,10,0xc7800c600198 => 0x11b800c60030c,7,0x10c4000c7c0061,7,0x10c6008c600388 => 0x1830008c700462,5,0xe000e0c1c2060
0x470000C14007F,58,84,16,0x1182080c001fe0 => 0x186080c04007f,8,0x1828a0c0005ad,11,0x186080c04007f => 0x2180820c004fe0,6,0x1828a0c0005ad
0x87AC0463,58,82,15,0x30004085ac0460 => 0x100d8087a00108,8,0x10018087a00c60,10,0x1003c085b00060 => 0x2100087ac0460,5,0x10018087a0018c
0x10060000800C63,58,80,29,0x21a0010001318 => 0x10020a10005460,15,0x1046000090018c,17,0x10020a10005460 => 0x1a8000048318,9,0x1046000090018c
0x1004018FFC0C61,58,78,32,0x3043818fe00198 => 0x810018ffc0c62,16,0x201b810ff80860,19,0x3043818fe00198 => 0x810018ffc0c62,10,0x201b810ff80860
0x168400F62DB5A1,58,78,21,0x2d1000f62db5a1 => 0x168042b44fe5a2,11,0x168440b42fb5a1,15,0x16884cb44f85a1 => 0x2d1000f62db5a1,8,0x168440b42fb5a1
0x182800008,57,126,11,0x4180008040 => 0x10012080040,6,0x10002880008,11,0x182008040 => 0x4180008040,6,0x10002880008
0x118001FC6005A1,57,114,17,0x18801fc60082d => 0x42001fc60083d,9,0x118005fc0065a0,10,0x42001fc6008da => 0x18801fc6005b0,5,0x118001fc6005a1
0x202B41015A0,57,112,11,0xc00b40000de => 0x84000b4000c5a,7,0xa5000b40005a0,8,0xab4005b40 => 0x208b410402d,5,0xa5000b400002d
0x8000F4600020,57,106,11,0x10004b4022020 => 0x10004b4022100,6,0x40000f4600100,11,0x10004b4022100 => 0x10004b4022020,6,0x40000f4600100
0x1023FE81000461,57,78,17,0x106037031c0861 => 0x20732513001198,9,0x2033ed0180011c,15,0x2063b503001198 => 0x106037031c0861,8,0x2033ed01800388
0x80200020,56,196,6,0x80400008 => 0x100200008,5,0x10400000100,5,0x100002100 => 0x80002100,3,0x10000400040
0x800084218020,56,145,6,0x400010401a020 => 0x4000484018020,5,0x20000409a020,5,0x21000401a020 => 0x210004418020,3,0x1000084418020
0x18C600462,56,124,9,0x45000c680060 => 0x240018c600108,5,0x200018c600062,7,0x44018c600108 => 0x240018c600108,4,0x200018c600062
0x80008C238060,56,124,6,0x80008c238060 => 0x100010c438060,5,0x400000c0ba060,5,0x21000c438060 => 0x21000c238060,3,0x80000c0ba060
0x100000B40005AD,56,122,11,0x2b400007f => 0x200b4000b5a,6,0x8b4000fe0,9,0x200b4000fe0 => 0x2b400007f,5,0x8b4000fe0
0x18000802C3421,56,114,10,0x42000804c6442 => 0x4200100383821,6,0x218b0d00400100,7,0x4200100586822 => 0x4200100383841,4,0x11898c80400100
0x183FE0C000462,56,112,14,0x2188708c107460 => 0x1184700c5c1062,7,0x2184f90c200861,8,0x1184780c1c3060 => 0x185f00c304461,4,0x2184f90c200861
0x1E8400B4000FE3,56,112,11,0x30f400b4000bda => 0x2f1800b400047f,6,0x1e8400b40007bd,7,0x317800b400047f => 0x30f400b400087f,4,0x1e8400b4000fe3
0x10F4018C600C7F,56,112,9,0x18f4018c600b5e => 0x1ec4018c600bda,6,0x1e84018c600c7f,7,0x18f4018c6007ad => 0x2378018c6005bd,4,0x2f08018c600fe3
0x20018C1C2C60,56,108,10,0x3083858c000108 => 0x3103858c000108,6,0x400018c1c2c60,7,0x3023818c400108 => 0x3023818c200108,4,0x400018c5c0c60
0x1085F884320421,56,100,14,0x20807d041e1822 => 0x1881b6c6000898,7,0x1085f884320421,10,0x1881b6c6000831 => 0x188430c60c3430,5,0x1885b0c6200431
0x1680018C203C61,56,80,10,0x2d0c018c406062 => 0x378018c203061,6,0x1680018c203c61,7,0x378018c203061 => 0x2f10018c406062,4,0x1680018c406c62
0x1180008FEC042D,56,80,16,0x1181808fe00b41 => 0x420008fec043d,8,0xc20008fec042d,11,0x1181808fe00b41 => 0x420010ff8083d,6,0x188010ff8085a
0x218803FC401862,56,80,12,0x318803fc40030c => 0x66001fc204c61,9,0x318401fc204461,7,0x218803fc40038c => 0xc7001fc401862,6,0x218803fc400463
0x104000B5BDB5AD,56,80,10,0x20800b5adb5bd => 0x1008b5adb7ad,6,0x400b5bdb5bd,10,0x100800b5adf5ad => 0x408b5bdb5ad,5,0x4000b5bdb5bd
0x8030C60005A3,56,78,13,0x8130460000de => 0x81b04604002d,7,0x81780402402d,11,0x8132460015a0 => 0x8032c60015a0,6,0x8078040a402d
0x21187208C00863,56,76,16,0x31187208c0011c => 0x30ef018400198,8,0x30af018400398,11,0x30ef018400198 => 0x31187208c00388,6,0x11a6008c0931c
0x2013FF00800862,56,76,17,0x20532512049198 => 0x20187280dc0462,9,0x2013ff0080011c,15,0x20532512049198 => 0x2018f300d80862,8,0x2013ff00800862
0x184718C2005AD,56,76,24,0x185700c48007f => 0x185700c28007f,12,0x2180758c000fe0,13,0x185700c28007f => 0x185700c48007f,7,0x2180718c002fe0
0x1085B684200C2D,56,76,13,0x30883d0458085a => 0x208f3104406b42,7,0x18c5b6842005a0,9,0x208f3104406b42 => 0x8a3c845c045a,5,0x18c5b6842005a0
0x1087F884218621,56,76,13,0x20c7310605b830 => 0x20c0b706198831,7,0x1087f08401f620,9,0x1889b28413e420 => 0x20c7310605b830,5,0x1087f884218621
0x183FE0C00043D,56,76,16,0x1184790c24085e => 0x2188f10c2047a1,9,0x183fe0c00043d,11,0x187780c24085e => 0x2188f20c58003d,6,0x183fe0c00085e
0x108470843FC421,55,110,14,0x2088f3041be820 => 0x208b7104479822,7,0x10807e841f8421,8,0x10c430c60db620 => 0x208872845f8421,4,0x10807e841f8421
0x1085B684200C23,55,98,16,0x84bf043c4808 => 0x1083b284507102,8,0x1085b684200c23,9,0x30843e842c4408 => 0x108bbc84500103,5,0x1085b684200c43
0x1084798420043D,55,76,16,0x10c431862007a2 => 0x89f20458005e,8,0x2084798420083d,12,0x10c431862007a2 => 0x89f20458005e,6,0x2084798420083d
0x300F9F80600C23,54,108,14,0x300c11807c7c23 => 0x10078e803cf441,7,0x300b9f80407c42,10,0xa5001807cfc43 => 0x184596802c3631,5,0x200f9f007c0843
0x108470843FF421,54,108,14,0x208b7d04479822 => 0x2088f3045be822,7,0x10847e843f8421,8,0x208870843ff421 => 0x10887d045f9822,4,0x1087f08423f421
0x18001FC200061,54,104,10,0x118005fc000108 => 0x42001fc002860,8,0x18001fc204060,7,0x18003fc400108 => 0x18007fc000108,5,0x18001fc200061
0x10018085AC0401,54,86,14,0x185bc0c02 => 0x300b8185a00000,7,0x400185bc0c00,9,0x20030105b80802 => 0x10118085ac0400,5,0x400185bc0c00
0x1011808FEC0411,54,72,22,0x3013818fe00090 => 0x810018ffc0c10,11,0x1013808fec0410,15,0x3013818fe00090 => 0x810018ffc0c10,8,0x1013808fec0410
0x180018C238061,53,106,12,0x181000c2b8061 => 0x420018c438061,6,0x1180018c03a060,7,0x181020c0ba060 => 0x420018c03e060,4,0x1180018c438060
0x10864000000C63,53,102,17,0x30884000140063 => 0x21088200065108,9,0x108e4000000c62,10,0x30804200145060 => 0x21088200065108,5,0x108e4000000c62
0x1085B084000C63,53,102,17,0x1087b884104108 => 0x308030841c0463,9,0x108db08400031c,10,0x2080b9041c4860 => 0x1087b884104108,5,0x108db084000c62
0x108000B5BDB5AD,53,75,13,0x8008b5bdb5ad => 0x2008b5bdb5ad,7,0x2000b5bdb5bd,11,0x2008b5bdb5ad => 0x8008b5bdb5ad,6,0x10000b5bdb5bd
0x100C00B47D85A1,53,72,14,0x100600b47d85a1 => 0x4204b41df5a0,7,0x180000b46d87a3,10,0x4204b40db7b0 => 0x100600b47d85a1,5,0x180000b46d87a3
0x802C0420,52,150,7,0x802c0408 => 0x100580808,5,0x10018480000100,5,0x10018080002100 => 0x20030100002100,3,0x20030500000040
0x180600C03,52,128,6,0x8410400082210 => 0xd0000680003,4,0xd80006c00,6,0xa510400082000 => 0x2100180600084,3,0xd80006c00
0x8000842D8420,52,121,7,0x11018084218020 => 0x20830104418020,5,0x2000840da420,5,0x2023010401a020 => 0x10218084418020,3,0x8000844d8420
0x184218C20,52,114,10,0x184418023 => 0x10604099020,6,0x30000584018020,6,0x184418023 => 0x10604099020,4,0x584018c20
0x80008C2F8460,52,108,7,0x2083010c238060 => 0x1101808c438060,5,0x20008c0fa460,5,0x2023010c238060 => 0x1021808c438060,3,0x100010c3b8860
0x1000018C600FE1,52,104,10,0x810018c600fe0 => 0x19000c68007f,6,0x1000018c6005bd,7,0x810018c6005ad => 0x1800018c6005ad,4,0x10018c60087f
0x100C00847D8423,52,104,11,0x184004840db630 => 0x20038f0401ec20,6,0x10000e841df420,8,0x1841868401a630 => 0xa5001047d8822,4,0x10000e841df420
0x10F4018C600C63,52,104,11,0x17b800c7c0062 => 0xf7800c7c0061,6,0x1e84018c600c63,7,0x18f4018c60031c => 0xf7800c7c0061,4,0x10f4018c600c63
0x803184600230,52,102,10,0x8d3004680040 => 0x30803584002040,7,0x8031846000c4,7,0x813c04086040 => 0x81b4040c2040,4,0x803184600c20
0x108448843FB421,52,94,13,0x2088cf045b8822 => 0xc1800c62db621,7,0x1087c88423b421,9,0x2088c1045bf822 => 0x107180c621b621,5,0x108448843fb421
0x100D8080200C04,52,72,25,0x100d8080002c04 => 0x10438280501000,13,0x10018a80007200,15,0x100d8080002c04 => 0x304002804c1400,8,0x100d8080200203
0x10118080200C03,52,72,25,0x30000500180883 => 0x1089003c4800,13,0x80c0100380803,15,0x30000900384880 => 0x1089003c4800,8,0x8000f00185800
0x10018085A00C03,52,72,25,0x8905bc4800 => 0x20038905a44000,13,0x200f0105a00003,15,0x8905bc4800 => 0x20038905a44000,8,0x200f0105a00003
0x1021A481000C2D,52,72,14,0x2023a50104002d => 0x1023a48110005a,7,0x20232501000c2d,10,0x20232501000c5a => 0x1021a4810000de,5,0x1021a481000c5a
0x300000B42D85A3,52,72,25,0x300004b40d85a3 => 0x202b45d95a0,13,0xc00b44d85a3,15,0x204b41d85a3 => 0x300008b42dc5a0,8,0xab40df5a0
0x1081B0846005A3,52,71,16,0x308030846c045a => 0x3080310478082d,9,0x108db08460005a,9,0x2083b10464002d => 0x308030846c042d,5,0x108db08460002d
0x2180718C400FE2,52,70,30,0x181f00c38007f => 0x185780c28007f,15,0x184718c20047f,17,0x181f00c38007f => 0x185780c28007f,9,0x184718c20047f
0x180018C03AC60,51,102,12,0x420018c438063 => 0x420018c238063,6,0x3180018c03a060,7,0x420018c438063 => 0x181020c4b9060,4,0x3180018c438060
0x80000B42DB5A1,51,90,8,0x200406b42d85a0 => 0x100406b42d85a0,6,0x400b42db5a1,6,0x100406b42d85a0 => 0x20406b42d85a0,4,0x80000b42db5a1
0x120884200C63,51,70,24,0xa00090420039c => 0x30100904240063,12,0xa00088420039c,14,0x30100904240063 => 0xa00090420039c,7,0xa00088420039c
0x1100000008,50,168,7,0x110000020 => 0x80800100,5,0x100800040,5,0x10010000020 => 0x100008100,3,0x1100000008
0xC63,50,124,6,0x300c0000000108 => 0x20800104108,4,0x2100000000318,5,0xa00005108 => 0x8200041060,3,0x3000000000018c
0xF4200020,50,120,7,0xf4400008 => 0xb6200040,5,0x40b4200020,5,0xb4022100 => 0xb6002020,3,0x4f4000100
0x803184218021,50,109,10,0x80338401a020 => 0x803784018020,5,0x813004298220,7,0x883184218020 => 0x803784018020,4,0x83300409a020
0x100001FC600861,50,100,16,0x81001fc600061 => 0x101801fc600108,8,0x80801fc600860,10,0x81001fc600188 => 0x181001fc600108,5,0x80801fc600860
0x20018C638C60,50,96,10,0x3080058c03a060 => 0x8d000c6b8060,7,0x8c0018c638060,7,0x101840c0fa060 => 0x1010c0c0be060,5,0x20018c638c60
0x8000F40DA5A0,50,96,7,0x10004f40d85a0 => 0x2000b44f85a0,5,0x40000f42d85a0,5,0x8044b40d85a0 => 0x40040b44d85a0,3,0x40000f42d85a0
0x18000842205AD,50,94,16,0x42000c440007f => 0x4200106200fe0,8,0x42040842005ad,11,0x42000c4400b5a => 0x42001062005ad,6,0x42040842005ad
0x810400000C63,50,92,22,0x1018600041108 => 0x830c00104108,11,0xe500000082060,13,0x1018600041108 => 0x830c00104108,7,0x310c0000082060
0x808200000C63,50,92,22,0x820800145108 => 0x828a00104108,11,0xa700000104060,13,0x828a00104108 => 0x820800145108,7,0x310c0000104060
0x118000B42DB5A1,50,72,17,0x1880cb45d85a0 => 0x18406b42d85a2,9,0x18800b44de5a2,14,0x1880cb44d95a0 => 0x42000b45de5a2,7,0x18800b44de5a2
0x1000018FFC0C01,50,70,15,0x18ffc0c11 => 0x3003818fe00090,8,0x2013010ff80810,10,0x810018ffc0c00 => 0x301b818fe00000,6,0x8018ffc0c10
0x81B646000C23,50,68,34,0x8c1b246002310 => 0x8c0b646080218,17,0x81b646000c43,19,0x8c0b646080218 => 0x8c1b246002310,10,0x81b646000c23
0x2053010FF80814,50,68,16,0x810018ffc0c06 => 0x3047818fe00090,8,0x1051808fec0414,11,0x3047818fe00090 => 0x240018ffc0c11,6,0x50018ffc0c14
0x8C6C0461,49,101,8,0x1003848c002060 => 0x1001848c002860,5,0x10008c6c0460,7,0x50c1c2860 => 0x2003050c042060,4,0x10008c6c0460
0x1000018C7C0C61,49,88,11,0x301b818c600108 => 0x300b818c600860,6,0x800058c1c6c60,7,0x1001868c0c6460 => 0x301b818c600108,4,0x800018c7c0c61
0x802005A0,48,132,7,0x1000040005a => 0x28002d,6,0x1040000005a,5,0x1000025a0 => 0x10000002b40,4,0x10020002d
0x802C3421,48,120,8,0x802c3441 => 0x100586822,5,0x10098c80400008,5,0x802c3421 => 0x100383841,3,0x10058680200040
0x20000008007F,48,110,8,0x810000000fe0 => 0x1010000000fe0,5,0x21000000007f,5,0x40000800005ad => 0x4000100000fe0,3,0x100008000007f
0x28A00000C03,48,108,5,0xa400200105080 => 0x30500000000611,5,0xa400200105080,5,0x18440000000886 => 0x8408200104084,4,0x18440000000c14
0x806C0403,48,104,7,0x204801c2400 => 0x20030100600c00,5,0x200f0100600000,5,0x20038100640000 => 0x20030500002c00,3,0x20030700003000
0x8000842DB421,48,104,8,0x10898c84418020 => 0x21070704218020,5,0x400010459e822,5,0x208b0d04418020 => 0x11058684218020,3,0x80010439b821
0x420008080002D,48,100,11,0x42000808005a0 => 0x18001100005a0,6,0x420010080005a,8,0x1800110000b40 => 0x180001008005a,5,0x420010080005a
0x8000B42005AD,48,97,8,0x10004b400007f => 0x8004b400007f,5,0x40000b4002fe0,5,0x8004b4000b5a => 0x40004b400007f,3,0x10000b4002fe0
0x100180806C0401,48,96,8,0x30138180600000 => 0x1807c0c10,5,0x30038180600800,6,0x100180806c0600 => 0x101180806c0400,4,0x20030100780801
0x800085AC0420,48,96,7,0x21030105a00040 => 0x10818085a00020,6,0x1000105b80808,5,0x20230105a00100 => 0x21030105a00100,4,0x11018085a00008
0x80008C2FB461,48,96,8,0x208b0d0c438060 => 0x1105868c238060,5,0x20010c5be862,5,0x10898c8c438060 => 0x11098c8c438060,3,0x100010c3bb861
0x8000846F8420,48,94,11,0x2103050403a020 => 0x20834104618020,6,0x8000846f8420,8,0x2103050403a020 => 0x10004c40da420,5,0x40000846f8420
0xB4018C2005AD,48,92,11,0x169000c28007f => 0xb5000c48007f,6,0x1680018c002fe0,7,0xb5000c28007f => 0x169000c48007f,4,0x2d00018c400fe0
0x8001FC203021,48,84,7,0x2001fc203041 => 0x40001fc406022,6,0x40407fc200008,5,0x40407fc200008 => 0x880dfc400008,4,0x10001fc406102
0x18000802C042D,48,82,10,0x42000802c045a => 0x420010058082d,6,0x218305000005a0,7,0x420010038085a => 0x42000804c045a,4,0x118180802005a0
0x472003380041C,48,72,10,0x4225a21048842 => 0x4629023009302,7,0x422da21008302,8,0xc201a61048302 => 0x21840071804381,5,0xe200071804621
0x108648B5A00461,48,68,14,0xc1800f5a0430c => 0x226000b7b00198,7,0x108648b5a00862,9,0x20c400b7b00198 => 0x103248b5a00462,5,0x10c400b7b0011c
0x10058087A00C63,48,66,23,0x100580c5a00c63 => 0xa500107b80862,12,0x10058087a00c63,13,0xa500087bc0460 => 0x100580c5a00c63,7,0x10058087a0039c
0x1087F08460043D,48,66,14,0x2083f7040067a0 => 0x1885b0c460083d,7,0x1083fe840027a0,10,0x1885b0c460083d => 0x1089f08470043d,5,0x1083fe840027a0
